datetime;value
2012092606;8
2012092612;8
2012092618;7
2012092700;-999
2012092706;7
2012092712;7
2012092718;7
2012092800;-999
2012092806;5
2012092812;7
2012092818;7
2012092900;-999
2012092906;7
2012092912;7
2012092918;2
2012093000;-999
2012093006;1
2012093012;5
2012093018;7
2012100100;-999
2012100106;5
2012100112;5
2012100118;7
2012100200;-999
2012100206;8
2012100212;7
2012100218;7
2012100300;-999
2012100306;6
2012100312;7
2012100318;7
2012100400;-999
2012100406;7
2012100412;8
2012100418;5
2012100500;-999
2012100506;8
2012100512;8
2012100518;1
2012100600;-999
2012100606;8
2012100612;7
2012100618;1
2012100700;-999
2012100706;3
2012100712;7
2012100718;7
2012100800;-999
2012100806;4
2012100812;7
2012100818;5
2012100900;-999
2012100906;2
2012100912;4
2012100918;4
2012101000;-999
2012101006;8
2012101012;7
2012101018;3
2012101100;-999
2012101106;6
2012101112;4
2012101118;1
2012101200;-999
2012101206;1
2012101212;4
2012101218;8
2012101300;-999
2012101306;2
2012101312;1
2012101318;6
2012101400;-999
2012101406;8
2012101412;7
2012101418;7
2012101500;-999
2012101506;8
2012101512;7
2012101518;3
2012101600;-999
2012101606;3
2012101612;7
2012101618;8
2012101700;-999
2012101706;3
2012101712;5
2012101718;7
2012101800;-999
2012101806;7
2012101812;7
2012101818;7
2012101900;-999
2012101906;7
2012101912;4
2012101918;4
2012102000;-999
2012102006;6
2012102012;7
2012102018;8
2012102100;-999
2012102106;8
2012102112;8
2012102118;7
2012102200;-999
2012102206;8
2012102212;8
2012102218;8
2012102300;-999
2012102306;8
2012102312;8
2012102318;8
2012102400;-999
2012102406;7
2012102412;8
2012102418;8
2012102500;-999
2012102506;8
2012102512;7
2012102518;5
2012102600;-999
2012102606;1
2012102612;4
2012102618;7
2012102700;-999
2012102706;3
2012102712;3
2012102718;7
2012102800;-999
2012102806;1
2012102812;2
2012102818;5
2012102900;-999
2012102906;7
2012102912;8
2012102918;8
2012103000;-999
2012103006;6
2012103012;1
2012103018;5
2012103100;-999
2012103106;4
2012103112;7
2012103118;5
2012110100;-999
2012110106;7
2012110112;8
2012110118;8
2012110200;-999
2012110206;7
2012110212;7
2012110218;5
2012110300;-999
2012110306;7
2012110312;3
2012110318;8
2012110400;-999
2012110406;4
2012110412;2
2012110418;7
2012110500;-999
2012110506;8
2012110512;8
2012110518;7
2012110600;-999
2012110606;6
2012110612;7
2012110618;8
2012110700;-999
2012110706;8
2012110712;6
2012110718;8
2012110800;-999
2012110806;7
2012110812;8
2012110818;4
2012110900;-999
2012110906;8
2012110912;7
2012110918;8
2012111000;-999
2012111006;7
2012111012;7
2012111018;8
2012111100;-999
2012111106;4
2012111112;5
2012111118;5
2012111200;-999
2012111206;5
2012111212;5
2012111218;1
2012111300;-999
2012111306;8
2012111312;7
2012111318;7
2012111400;-999
2012111406;8
2012111412;8
2012111418;8
2012111500;-999
2012111506;8
2012111512;8
2012111518;8
2012111600;-999
2012111606;8
2012111612;8
2012111618;8
2012111700;-999
2012111706;8
2012111712;7
2012111718;8
2012111800;-999
2012111806;8
2012111812;8
2012111818;6
2012111900;-999
2012111906;2
2012111912;2
2012111918;8
2012112000;-999
2012112006;8
2012112012;8
2012112018;3
2012112100;-999
2012112106;8
2012112112;8
2012112118;8
2012112200;-999
2012112206;8
2012112212;5
2012112218;0
2012112300;-999
2012112306;3
2012112312;7
2012112318;8
2012112400;-999
2012112406;8
2012112412;8
2012112418;8
2012112500;-999
2012112506;8
2012112512;8
2012112518;8
2012112600;-999
2012112606;8
2012112612;6
2012112618;8
2012112700;-999
2012112706;8
2012112712;8
2012112718;8
2012112800;-999
2012112806;7
2012112812;8
2012112818;7
2012112900;-999
2012112906;8
2012112912;7
2012112918;7
2012113000;-999
2012113006;7
2012113012;6
2012113018;1
2012120100;-999
2012120106;8
2012120112;7
2012120118;7
2012120200;-999
2012120206;8
2012120212;8
2012120218;5
2012120300;-999
2012120306;5
2012120312;4
2012120318;8
2012120400;-999
2012120406;8
2012120412;7
2012120418;7
2012120500;-999
2012120506;6
2012120512;6
2012120518;5
2012120600;-999
2012120606;7
2012120612;3
2012120618;1
2012120700;-999
2012120706;8
2012120712;5
2012120718;1
2012120800;-999
2012120806;7
2012120812;6
2012120818;4
2012120900;-999
2012120906;8
2012120912;8
2012120918;7
2012121000;-999
2012121006;7
2012121012;8
2012121018;8
2012121100;-999
2012121106;2
2012121112;7
2012121118;8
2012121200;-999
2012121206;8
2012121212;7
2012121218;7
2012121300;-999
2012121306;8
2012121312;8
2012121318;8
2012121400;-999
2012121406;8
2012121412;8
2012121418;8
2012121500;-999
2012121506;8
2012121512;7
2012121518;7
2012121600;-999
2012121606;8
2012121612;8
2012121618;8
2012121700;-999
2012121706;8
2012121712;8
2012121718;8
2012121800;-999
2012121806;8
2012121812;8
2012121818;8
