MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;range;wind_dir;wind_str;prec
1977120214;4;1977;12;2;14;-0.4999999999999997;-0.8660254037844388;2.5;84.0;3.6;77.0;2;4;7.0;28.0;2.0;0.0
1977120221;4;1977;12;2;21;-0.7071067811865477;0.7071067811865474;3.6;77.0;4.4;81.0;4;8;7.0;28.0;3.0;0.0
1977120307;4;1977;12;3;7;0.9659258262890683;-0.25881904510252063;4.4;81.0;3.1;92.0;4;8;6.0;4.0;2.0;0.0
1977120314;4;1977;12;3;14;-0.4999999999999997;-0.8660254037844388;3.1;92.0;4.7;87.0;3;7;7.0;4.0;2.0;0.0
1977120321;4;1977;12;3;21;-0.7071067811865477;0.7071067811865474;4.7;87.0;3.9;86.0;4;8;6.0;28.0;1.0;0.0
1977120407;4;1977;12;4;7;0.9659258262890683;-0.25881904510252063;3.9;86.0;2.8;87.0;4;8;7.0;4.0;2.0;0.0
1977120414;4;1977;12;4;14;-0.4999999999999997;-0.8660254037844388;2.8;87.0;1.9;93.0;4;8;7.0;4.0;2.0;0.0
1977120421;4;1977;12;4;21;-0.7071067811865477;0.7071067811865474;1.9;93.0;3.3;68.0;4;8;7.0;4.0;2.0;0.0
1977120507;4;1977;12;5;7;0.9659258262890683;-0.25881904510252063;3.3;68.0;2.5;75.0;4;8;7.0;8.0;2.0;0.0
1977120514;4;1977;12;5;14;-0.4999999999999997;-0.8660254037844388;2.5;75.0;2.6;73.0;4;8;7.0;8.0;3.0;0.0
1977120521;4;1977;12;5;21;-0.7071067811865477;0.7071067811865474;2.6;73.0;1.2;85.0;4;8;6.0;8.0;4.0;0.0
1977120607;4;1977;12;6;7;0.9659258262890683;-0.25881904510252063;1.2;85.0;2.0;77.0;2;6;7.0;4.0;4.0;0.6
1977120614;4;1977;12;6;14;-0.4999999999999997;-0.8660254037844388;2.0;77.0;3.2;83.0;2;6;7.0;4.0;5.0;0.6
1977120621;4;1977;12;6;21;-0.7071067811865477;0.7071067811865474;3.2;83.0;0.8;97.0;4;8;6.0;4.0;5.0;0.6
1977120707;4;1977;12;7;7;0.9659258262890683;-0.25881904510252063;0.8;97.0;-0.1;87.0;1;3;7.0;12.0;2.0;0.1
1977120714;4;1977;12;7;14;-0.4999999999999997;-0.8660254037844388;-0.1;87.0;-0.7;96.0;2;6;6.0;8.0;3.0;0.1
1977120721;4;1977;12;7;21;-0.7071067811865477;0.7071067811865474;-0.7;96.0;1.3;81.0;0;0;7.0;12.0;5.0;0.1
1977120807;4;1977;12;8;7;0.9659258262890683;-0.25881904510252063;1.3;81.0;3.2;84.0;2;6;7.0;8.0;6.0;0.0
1977120814;4;1977;12;8;14;-0.4999999999999997;-0.8660254037844388;3.2;84.0;3.2;81.0;4;8;6.0;8.0;5.0;0.0
1977120821;4;1977;12;8;21;-0.7071067811865477;0.7071067811865474;3.2;81.0;2.5;82.0;0;0;6.0;8.0;4.0;0.0
1977120907;4;1977;12;9;7;0.9659258262890683;-0.25881904510252063;2.5;82.0;2.4;84.0;2;6;6.0;8.0;5.0;0.0
1977120914;4;1977;12;9;14;-0.4999999999999997;-0.8660254037844388;2.4;84.0;3.0;83.0;4;8;5.0;12.0;5.0;0.0
1977120921;4;1977;12;9;21;-0.7071067811865477;0.7071067811865474;3.0;83.0;3.4;85.0;4;8;5.0;12.0;5.0;0.0
1977121007;4;1977;12;10;7;0.9659258262890683;-0.25881904510252063;3.4;85.0;2.4;87.0;4;8;6.0;8.0;5.0;0.0
1977121014;4;1977;12;10;14;-0.4999999999999997;-0.8660254037844388;2.4;87.0;0.6;88.0;4;8;5.0;8.0;6.0;0.0
1977121021;4;1977;12;10;21;-0.7071067811865477;0.7071067811865474;0.6;88.0;-0.2;78.0;4;8;6.0;8.0;5.0;0.0
