Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5516;Fehmarn;VK_TER;10.07.1951-15:00;11.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;11.07.1951-15:00;12.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;12.07.1951-15:00;13.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;13.07.1951-15:00;14.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;14.07.1951-15:00;15.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;15.07.1951-15:00;16.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;16.07.1951-15:00;17.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;17.07.1951-15:00;18.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;18.07.1951-15:00;19.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;19.07.1951-15:00;20.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;20.07.1951-15:00;21.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;21.07.1951-15:00;22.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;22.07.1951-15:00;23.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;23.07.1951-15:00;24.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;24.07.1951-15:00;25.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;25.07.1951-15:00;26.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;26.07.1951-15:00;27.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;27.07.1951-15:00;28.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;28.07.1951-15:00;29.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;29.07.1951-15:00;30.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;30.07.1951-15:00;31.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;31.07.1951-15:00;01.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;01.08.1951-15:00;02.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;02.08.1951-15:00;03.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;03.08.1951-15:00;04.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;04.08.1951-15:00;05.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;05.08.1951-15:00;06.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;06.08.1951-15:00;07.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;07.08.1951-15:00;08.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;08.08.1951-15:00;09.08.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;09.08.1951-15:00;10.08.1951-13:00;2;;eor;                                                                                                                                           
