year;month;day;hour;value
1947;1;18;14;4
1947;1;18;21;8
1947;1;19;7;8
1947;1;19;14;8
1947;1;19;21;8
1947;1;20;7;6
1947;1;20;14;4
1947;1;20;21;0
1947;1;21;7;7
1947;1;21;14;8
1947;1;21;21;8
1947;1;22;7;8
1947;1;22;14;6
1947;1;22;21;4
1947;1;23;7;8
1947;1;23;14;8
1947;1;23;21;4
1947;1;24;7;7
1947;1;24;14;3
1947;1;24;21;0
1947;1;25;7;4
1947;1;25;14;6
1947;1;25;21;8
1947;1;26;7;8
1947;1;26;14;8
1947;1;26;21;4
1947;1;27;7;8
1947;1;27;14;2
1947;1;27;21;8
1947;1;28;7;0
1947;1;28;14;0
1947;1;28;21;0
1947;1;29;7;0
1947;1;29;14;0
1947;1;29;21;0
1947;1;30;7;8
1947;1;30;14;0
1947;1;30;21;0
1947;1;31;7;8
1947;1;31;14;0
1947;1;31;21;0
1947;2;1;7;1
1947;2;1;14;0
1947;2;1;21;1
1947;2;2;7;8
1947;2;2;14;0
1947;2;2;21;3
1947;2;3;7;8
1947;2;3;14;2
1947;2;3;21;6
1947;2;4;7;6
1947;2;4;14;8
1947;2;4;21;8
1947;2;5;7;8
1947;2;5;14;8
1947;2;5;21;8
1947;2;6;7;8
1947;2;6;14;8
1947;2;6;21;8
1947;2;7;7;3
1947;2;7;14;0
1947;2;7;21;2
1947;2;8;7;3
1947;2;8;14;4
1947;2;8;21;4
1947;2;9;7;4
1947;2;9;14;0
1947;2;9;21;0
1947;2;10;7;3
1947;2;10;14;6
1947;2;10;21;8
1947;2;11;7;2
1947;2;11;14;4
1947;2;11;21;2
1947;2;12;7;8
1947;2;12;14;4
1947;2;12;21;0
1947;2;13;7;8
1947;2;13;14;8
1947;2;13;21;8
1947;2;14;7;8
1947;2;14;14;8
1947;2;14;21;8
1947;2;15;7;8
1947;2;15;14;8
1947;2;15;21;8
1947;2;16;7;8
1947;2;16;14;8
1947;2;16;21;8
1947;2;17;7;8
1947;2;17;14;6
1947;2;17;21;0
1947;2;18;7;8
1947;2;18;14;4
1947;2;18;21;8
1947;2;19;7;8
1947;2;19;14;8
1947;2;19;21;8
1947;2;20;7;8
1947;2;20;14;8
1947;2;20;21;8
1947;2;21;7;8
1947;2;21;14;8
1947;2;21;21;4
1947;2;22;7;4
1947;2;22;14;8
1947;2;22;21;8
1947;2;23;7;8
1947;2;23;14;8
1947;2;23;21;8
1947;2;24;7;8
1947;2;24;14;8
1947;2;24;21;8
1947;2;25;7;8
1947;2;25;14;8
1947;2;25;21;8
1947;2;26;7;8
1947;2;26;14;0
1947;2;26;21;0
1947;2;27;7;5
1947;2;27;14;2
