STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       2712;1973020514;    5;  24;   1;eor
       2712;1973020521;    5;   0;   0;eor
       2712;1973020607;    5;  20;   1;eor
       2712;1973020614;    5;  28;   1;eor
       2712;1973020621;    5;   0;   0;eor
       2712;1973020707;    5;  32;   1;eor
       2712;1973020714;    5;  24;   2;eor
       2712;1973020721;    5;  24;   1;eor
       2712;1973020807;    5;  20;   4;eor
       2712;1973020814;    5;  20;   3;eor
       2712;1973020821;    5;  24;   1;eor
       2712;1973020907;    5;   0;   0;eor
       2712;1973020914;    5;  20;   3;eor
       2712;1973020921;    5;  20;   3;eor
       2712;1973021007;    5;  24;   3;eor
       2712;1973021014;    5;  24;   2;eor
       2712;1973021021;    5;  20;   3;eor
       2712;1973021107;    5;  24;   3;eor
       2712;1973021114;    5;  24;   3;eor
       2712;1973021121;    5;  24;   2;eor
       2712;1973021207;    5;  20;   3;eor
       2712;1973021214;    5;  20;   5;eor
       2712;1973021221;    5;  20;   4;eor
       2712;1973021307;    5;  20;   4;eor
       2712;1973021314;    5;  20;   2;eor
       2712;1973021321;    5;  24;   1;eor
       2712;1973021407;    5;  24;   2;eor
       2712;1973021414;    5;  24;   1;eor
       2712;1973021421;    5;   8;   1;eor
       2712;1973021507;    5;  28;   1;eor
       2712;1973021514;    5;  16;   2;eor
       2712;1973021521;    5;  32;   1;eor
       2712;1973021607;    5;   4;   2;eor
       2712;1973021614;    5;   4;   2;eor
       2712;1973021621;    5;   4;   3;eor
       2712;1973021707;    5;  32;   1;eor
       2712;1973021714;    5;  12;   1;eor
       2712;1973021721;    5;  20;   2;eor
       2712;1973021807;    5;  20;   3;eor
       2712;1973021814;    5;  20;   3;eor
       2712;1973021821;    5;  20;   3;eor
       2712;1973021907;    5;   0;   0;eor
       2712;1973021914;    5;  20;   1;eor
       2712;1973021921;    5;  20;   1;eor
       2712;1973022007;    5;  12;   1;eor
       2712;1973022014;    5;   8;   1;eor
       2712;1973022021;    5;  32;   1;eor
       2712;1973022107;    5;  24;   1;eor
       2712;1973022114;    5;  20;   2;eor
       2712;1973022121;    5;  20;   2;eor
       2712;1973022207;    5;  24;   3;eor
       2712;1973022214;    5;  20;   3;eor
       2712;1973022221;    5;  24;   2;eor
       2712;1973022307;    5;  24;   4;eor
       2712;1973022314;    5;  24;   4;eor
       2712;1973022321;    5;  20;   3;eor
       2712;1973022407;    5;  24;   3;eor
       2712;1973022414;    5;  28;   2;eor
       2712;1973022421;    5;  24;   2;eor
       2712;1973022507;    5;  24;   2;eor
       2712;1973022514;    5;  24;   3;eor
       2712;1973022521;    5;  20;   2;eor
       2712;1973022607;    5;  28;   1;eor
       2712;1973022614;    5;  32;   1;eor
       2712;1973022621;    5;  24;   2;eor
       2712;1973022707;    5;   0;   0;eor
       2712;1973022714;    5;   4;   2;eor
       2712;1973022721;    5;  32;   1;eor
       2712;1973022807;    5;   4;   1;eor
       2712;1973022814;    5;   8;   1;eor
       2712;1973022821;    5;  16;   1;eor
       2712;1973030107;    5;  28;   1;eor
       2712;1973030114;    5;  12;   1;eor
       2712;1973030121;    5;   0;   0;eor
       2712;1973030207;    5;  32;   1;eor
       2712;1973030214;    5;   8;   1;eor
       2712;1973030221;    5;  24;   2;eor
       2712;1973030307;    5;  24;   2;eor
       2712;1973030314;    5;  20;   2;eor
       2712;1973030321;    5;  20;   1;eor
       2712;1973030407;    5;   0;   0;eor
       2712;1973030414;    5;  12;   1;eor
       2712;1973030421;    5;   4;   1;eor
       2712;1973030507;    5;   0;   0;eor
       2712;1973030514;    5;  16;   2;eor
       2712;1973030521;    5;  32;   1;eor
       2712;1973030607;    5;   4;   1;eor
       2712;1973030614;    5;  20;   3;eor
       2712;1973030621;    5;  20;   2;eor
       2712;1973030707;    5;  20;   3;eor
       2712;1973030714;    5;  24;   2;eor
       2712;1973030721;    5;  24;   1;eor
       2712;1973030807;    5;   4;   2;eor
       2712;1973030814;    5;   4;   2;eor
       2712;1973030821;    5;  32;   2;eor
       2712;1973030907;    5;  20;   1;eor
       2712;1973030914;    5;   8;   1;eor
       2712;1973030921;    5;   4;   1;eor
       2712;1973031007;    5;   4;   3;eor
       2712;1973031014;    5;   4;   3;eor
       2712;1973031021;    5;   4;   2;eor
       2712;1973031107;    5;   4;   2;eor
       2712;1973031114;    5;  12;   1;eor
       2712;1973031121;    5;   0;   0;eor
       2712;1973031207;    5;  24;   1;eor
       2712;1973031214;    5;  28;   1;eor
       2712;1973031221;    5;  28;   1;eor
       2712;1973031307;    5;   4;   3;eor
       2712;1973031314;    5;   4;   3;eor
       2712;1973031321;    5;   4;   3;eor
       2712;1973031407;    5;  32;   2;eor
       2712;1973031414;    5;   4;   3;eor
       2712;1973031421;    5;   4;   3;eor
       2712;1973031507;    5;   4;   3;eor
       2712;1973031514;    5;   4;   3;eor
       2712;1973031521;    5;   4;   3;eor
       2712;1973031607;    5;   4;   2;eor
       2712;1973031614;    5;   4;   3;eor
       2712;1973031621;    5;   4;   3;eor
       2712;1973031707;    5;   4;   1;eor
       2712;1973031714;    5;  16;   2;eor
       2712;1973031721;    5;   0;   0;eor
       2712;1973031807;    5;   0;   0;eor
       2712;1973031814;    5;  20;   1;eor
       2712;1973031821;    5;  20;   2;eor
       2712;1973031907;    5;  24;   2;eor
       2712;1973031914;    5;  32;   1;eor
       2712;1973031921;    5;   8;   1;eor
       2712;1973032007;    5;   0;   0;eor
       2712;1973032014;    5;  16;   2;eor
       2712;1973032021;    5;   4;   1;eor
       2712;1973032107;    5;   0;   0;eor
       2712;1973032114;    5;  16;   1;eor
       2712;1973032121;    5;   0;   0;eor
       2712;1973032207;    5;   0;   0;eor
       2712;1973032214;    5;   4;   1;eor
       2712;1973032221;    5;   8;   1;eor
       2712;1973032307;    5;   0;   0;eor
       2712;1973032314;    5;  16;   2;eor
       2712;1973032321;    5;  32;   1;eor
       2712;1973032407;    5;   0;   0;eor
       2712;1973032414;    5;   8;   2;eor
       2712;1973032421;    5;  32;   2;eor
       2712;1973032507;    5;  28;   1;eor
       2712;1973032514;    5;  24;   2;eor
       2712;1973032521;    5;  28;   2;eor
       2712;1973032607;    5;  32;   1;eor
       2712;1973032614;    5;  32;   1;eor
       2712;1973032621;    5;  32;   1;eor
       2712;1973032707;    5;  12;   1;eor
       2712;1973032714;    5;   4;   1;eor
       2712;1973032721;    5;   0;   0;eor
       2712;1973032807;    5;   0;   0;eor
       2712;1973032814;    5;   8;   1;eor
       2712;1973032821;    5;  32;   3;eor
       2712;1973032907;    5;  32;   2;eor
       2712;1973032914;    5;  12;   1;eor
       2712;1973032921;    5;  24;   2;eor
       2712;1973033007;    5;   0;   0;eor
       2712;1973033014;    5;  20;   2;eor
       2712;1973033021;    5;  20;   2;eor
       2712;1973033107;    5;  20;   1;eor
       2712;1973033114;    5;  24;   1;eor
